Word Count,Unique Words,Characters,Average Word Lengths,Unique Proportion,Hapax Legomenons,Sentence Count,Average Sentence Length,Punctuation Marks,Stop Words,Complex Verbs,Sophisticated Adjectives,Adverbs,Questions,Exclamations,Contractions,Abstract Nouns,VADER Score,Subjectivity,Polarity,Flesch Reading Score,Gunning Fog,First Person Pronouns,Direct Addresses,Date Entities,Role
159,71,678,4.264150943396227,0.44654088050314467,0.06637168141592921,17,9.352941176470589,31,53,15,1,18,1,0,2,0,-0.5499,0.3552380952380952,-0.018095238095238105,92.52289678135406,6.256899741028487,0,1,13,3
570,179,2611,4.580701754385965,0.3140350877192982,0.035235541937954806,25,22.8,126,168,41,19,10,0,0,4,0,0.9678,0.3609848484848484,0.05833333333333334,62.43300000000002,14.593684210526318,1,0,19,0
93,56,448,4.817204301075269,0.6021505376344086,0.09598214285714286,5,18.6,17,36,8,3,5,0,0,0,0,0.0387,0.18333333333333335,0.04285714285714286,64.23987096774196,12.171182795698925,3,0,1,8
801,185,3292,4.109862671660425,0.23096129837702872,0.022174969623329283,51,15.705882352941176,168,266,77,13,35,0,0,3,0,-0.7363,0.3938529499850254,0.11539383048817012,85.16993390614675,8.529543952412425,10,0,24,1
68,46,264,3.8823529411764706,0.6764705882352942,0.14015151515151514,11,6.181818181818182,23,10,4,3,5,0,0,0,0,0.8265,0.71875,0.1875,92.32221925133692,4.8256684491978605,1,0,4,3
52,27,122,2.3461538461538463,0.5192307692307693,0.16393442622950818,4,13.0,26,12,1,0,2,0,0,1,0,0.0,0.5,0.0,102.53230769230771,5.969230769230769,1,0,0,8
370,107,1902,5.140540540540541,0.2891891891891892,0.028391167192429023,24,15.416666666666666,49,154,34,16,15,2,0,3,0,0.168,0.3359375,0.0015625000000000014,62.00059684684686,11.788288288288289,1,0,0,8
198,86,928,4.686868686868687,0.43434343434343436,0.06896551724137931,44,4.5,66,12,10,1,3,0,0,1,0,0.0,0.8125,-0.16666666666666666,86.04931818181821,5.234343434343434,0,0,27,1
567,218,3001,5.292768959435626,0.3844797178130511,0.04298567144285238,37,15.324324324324325,93,164,43,23,43,4,0,9,0,0.984,0.43863775113775105,0.08650682650682649,53.712556842556836,13.325496925496925,2,0,6,0
178,77,670,3.764044943820225,0.43258426966292135,0.06567164179104477,11,16.181818181818183,41,51,14,2,5,0,0,4,0,0.886,0.4174603174603174,0.2563492063492064,88.22506128702759,8.944637385086825,0,0,6,1
107,68,446,4.168224299065421,0.6355140186915887,0.1210762331838565,10,10.7,19,36,9,2,11,0,1,1,0,-0.2544,0.484375,0.115625,86.86421962616825,6.522990654205607,1,0,1,3
270,99,1045,3.8703703703703702,0.36666666666666664,0.049760765550239235,15,18.0,76,67,22,10,10,1,0,2,0,0.8074,0.3711779448621554,-0.03759398496240601,76.70500000000001,10.014814814814816,2,0,6,1
272,117,1364,5.014705882352941,0.43014705882352944,0.053519061583577714,13,20.923076923076923,32,110,32,3,11,0,0,6,0,-0.8949,0.37894620811287477,0.075,63.67454751131223,12.780995475113123,0,2,10,8
67,47,279,4.164179104477612,0.7014925373134329,0.12544802867383512,2,33.5,13,23,6,1,3,0,0,1,0,-0.7096,0.425,-0.2,68.02951492537315,14.594029850746267,0,0,0,1
